2022-03-18 09:15:51,748 INFO    MainThread:16040 [wandb_setup.py:_flush():69] setting env: {}
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_setup.py:_flush():69] setting login settings: {}
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_init.py:_log_setup():336] Logging user logs to E:\DeepLearning\projects\yolov5_mask_video\wandb\run-20220318_091551-18sgfof1\logs\debug.log
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_init.py:_log_setup():337] Logging internal logs to E:\DeepLearning\projects\yolov5_mask_video\wandb\run-20220318_091551-18sgfof1\logs\debug-internal.log
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_init.py:init():369] calling init triggers
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {'weights': 'yolov5n.pt', 'cfg': 'E:\\DeepLearning\\projects\\yolov5_mask_video\\models\\yolov5n.yaml', 'data': 'E:\\DeepLearning\\projects\\yolov5_mask_video\\data\\mask.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.01, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0}, 'epochs': 300, 'batch_size': 4, 'imgsz': 640, 'rect': False, 'resume': False, 'nosave': False, 'noval': False, 'noautoanchor': False, 'evolve': None, 'bucket': '', 'cache': None, 'image_weights': False, 'device': '', 'multi_scale': False, 'single_cls': False, 'optimizer': 'SGD', 'sync_bn': False, 'workers': 1, 'project': 'runs\\train', 'name': 'exp', 'exist_ok': False, 'quad': False, 'cos_lr': False, 'label_smoothing': 0.0, 'patience': 100, 'freeze': [0], 'save_period': -1, 'local_rank': -1, 'entity': None, 'upload_dataset': False, 'bbox_interval': -1, 'artifact_alias': 'latest', 'save_dir': 'runs\\train\\exp2'}
2022-03-18 09:15:51,749 INFO    MainThread:16040 [wandb_init.py:init():418] starting backend
2022-03-18 09:15:51,749 INFO    MainThread:16040 [backend.py:_multiprocessing_setup():70] multiprocessing start_methods=spawn, using: spawn
2022-03-18 09:15:51,752 INFO    MainThread:16040 [backend.py:ensure_launched():132] starting backend process...
2022-03-18 09:15:51,806 INFO    MainThread:16040 [backend.py:ensure_launched():136] started backend process with pid: 13060
2022-03-18 09:15:51,807 INFO    MainThread:16040 [wandb_init.py:init():423] backend started and connected
2022-03-18 09:15:51,808 INFO    MainThread:16040 [wandb_init.py:init():465] updated telemetry
2022-03-18 09:15:51,808 INFO    MainThread:16040 [wandb_init.py:init():484] communicating current version
2022-03-18 09:15:52,993 INFO    MainThread:16040 [wandb_init.py:init():489] got version response upgrade_message: "wandb version 0.12.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-03-18 09:15:52,993 INFO    MainThread:16040 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2022-03-18 09:15:57,518 INFO    MainThread:16040 [wandb_init.py:init():522] starting run threads in backend
2022-03-18 09:15:59,332 INFO    MainThread:16040 [wandb_run.py:_console_start():1565] atexit reg
2022-03-18 09:15:59,333 INFO    MainThread:16040 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.WRAP
2022-03-18 09:15:59,333 INFO    MainThread:16040 [wandb_run.py:_redirect():1455] Wrapping output streams.
2022-03-18 09:15:59,333 INFO    MainThread:16040 [wandb_run.py:_redirect():1479] Redirects installed.
2022-03-18 09:15:59,333 INFO    MainThread:16040 [wandb_init.py:init():546] run started, returning control to user process
2022-03-18 09:15:59,335 INFO    MainThread:16040 [wandb_run.py:_config_callback():787] config_cb None None {'data_dict': {'train': 'E:\\dataset\\MASK-LARGE\\train\\images', 'val': 'E:\\dataset\\MASK-LARGE\\val\\images', 'nc': 2, 'names': ['mask', 'no-mask']}}
